scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,50000,24379,2504,1342,9.4375,14.6375,-0.216,-0.0314,-0.0249
LG1,50001,100000,71096,2282,1155,20.5219,23.4937,-0.0675,-0.0171,-0.0135
LG1,100001,150000,127730,2402,1300,12.5437,29.3469,-0.4011,-0.0834,-0.0618
LG1,150001,200000,175054,2811,1331,9.2578,17.6109,-0.3109,-0.0446,-0.0359
LG1,200001,250000,220897,2588,1246,7.2672,7.5672,-0.0202,-0.0019,-0.0016
LG1,250001,300000,272264,3861,1905,14.4641,44.3109,-0.5078,-0.1168,-0.0799
LG1,300001,350000,323791,4081,2089,11.6219,12.2406,-0.0259,-0.0016,-0.0015
LG1,350001,400000,375120,3304,1513,12.7109,8.2109,0.2151,0.0188,0.0165
LG1,400001,450000,426321,2887,1408,24.6125,17.8313,0.1598,0.0278,0.0213
LG1,450001,500000,475235,3407,1825,27.3734,22.7609,0.092,0.0116,0.0096
LG1,500001,550000,523710,2934,1468,20.9141,55.3016,-0.4512,-0.1283,-0.0959
LG1,550001,600000,578709,2051,957,12.9469,9.4031,0.1586,0.0179,0.0151
LG1,600001,650000,625363,2397,1170,32.1297,15.9734,0.3359,0.077,0.061
LG1,650001,700000,676878,2595,1275,9.2203,6.6828,0.1596,0.0093,0.0072
LG1,700001,750000,728826,3341,1689,20.7906,24.4344,-0.0806,-0.0108,-0.0092
LG1,750001,800000,779431,2167,1028,10.3141,8.0422,0.1238,0.0145,0.0105
LG1,800001,850000,827183,3335,1438,12.2703,11.2234,0.0446,0.0051,0.0044
LG1,850001,900000,878927,2137,1157,8.0625,12.3812,-0.2113,-0.0239,-0.0199
LG1,900001,950000,926323,1676,606,8.1781,7.15,0.0671,0.0161,0.0088
LG1,950001,1000000,974107,3065,1649,30.1547,33.8984,-0.0584,-0.0117,-0.0093
LG1,1000001,1050000,1026264,2569,1385,15.7969,8.75,0.2871,0.0247,0.0224
LG1,1050001,1100000,1076080,2985,1563,10.7562,11.1656,-0.0187,-0.0019,-0.0017
LG1,1100001,1150000,1124947,2483,1181,26.6703,74.7547,-0.4741,-0.6018,-0.2624
LG1,1150001,1200000,1176433,2051,1048,34.3078,61.3703,-0.2828,-0.2948,-0.1689
LG1,1200001,1250000,1224998,2522,1252,15.5547,63.9297,-0.6086,-0.4942,-0.253
LG1,1250001,1300000,1277907,2933,1553,16.2703,27.2766,-0.2527,-0.0592,-0.0439
LG1,1300001,1350000,1324106,2704,1331,13.1609,16.9078,-0.1246,-0.0164,-0.0136
LG1,1350001,1400000,1373709,3105,1604,12.6594,12.7719,-0.0044,-0.0004,-0.0004
LG1,1400001,1450000,1422454,1613,762,7.3172,5.3891,0.1517,0.0138,0.0123
LG1,1450001,1500000,1478854,1952,969,22.1156,16.0594,0.1586,0.0271,0.0219
LG1,1500001,1550000,1524651,3001,1632,13.7219,11.325,0.0957,0.0083,0.007
LG1,1550001,1600000,1568648,1906,1056,15.5828,6.7203,0.3974,0.0409,0.0361
LG1,1600001,1650000,1624012,3234,1693,24.4547,9.7641,0.4293,0.0547,0.0404
LG1,1650001,1700000,1673143,3040,1782,21.3375,25.9469,-0.0975,-0.0163,-0.0116
LG1,1700001,1750000,1722837,2357,1047,14.9297,9.2109,0.2369,0.04,0.0309
LG1,1750001,1800000,1778010,3491,1787,53.1734,42.8797,0.1072,0.0385,0.0244
LG1,1800001,1850000,1825551,4051,2027,24.7063,37.7938,-0.2094,-0.0373,-0.0284
LG1,1850001,1900000,1874414,3023,1685,22.2531,31.0562,-0.1651,-0.0434,-0.0282
LG1,1900001,1950000,1928642,1020,632,16.75,20.5844,-0.1027,-0.0634,-0.0425
LG1,1950001,2000000,1981320,1769,951,17.1594,51.1656,-0.4977,-0.1733,-0.1213
LG1,2000001,2050000,2025850,3383,1996,19.2922,39.2234,-0.3406,-0.0609,-0.0462
LG1,2050001,2100000,2074352,3252,1769,28.3094,25.9531,0.0434,0.0088,0.0064
LG1,2100001,2150000,2123953,3389,1878,24.1625,18.7344,0.1265,0.0166,0.0129
LG1,2150001,2200000,2178771,1836,1082,17.4922,13.6172,0.1246,0.0183,0.0134
LG1,2200001,2250000,2225587,2971,1913,32.125,12.85,0.4286,0.0659,0.0593
LG1,2250001,2300000,2271474,2726,1446,17.2406,8.7375,0.3273,0.0545,0.0459
LG1,2300001,2350000,2325037,3055,1669,10.9172,21.2516,-0.3213,-0.0797,-0.0581
LG1,2350001,2400000,2374180,1961,968,16.5422,13.4328,0.1037,0.0238,0.0186
LG1,2400001,2450000,2430167,1540,850,3.5641,3.8953,-0.0444,-0.0025,-0.0022
LG1,2450001,2500000,2474892,3159,1746,7.1672,18.9297,-0.4507,-0.0462,-0.0362
LG1,2500001,2550000,2524323,3488,1893,31.1297,11.7484,0.452,0.0634,0.0536
LG1,2550001,2600000,2574696,3286,1715,10.0938,19.3031,-0.3133,-0.0339,-0.0289
LG1,2600001,2650000,2625711,3482,1898,41.9578,23.7547,0.277,0.0613,0.051
LG1,2650001,2700000,2675450,3450,1808,17.5969,11.0469,0.2287,0.0296,0.0241
LG1,2700001,2750000,2718277,1249,658,17.8156,15.1125,0.0821,0.0189,0.0161
LG1,2750001,2800000,2772946,3577,1792,31.8578,22.3984,0.1743,0.0375,0.0288
LG1,2800001,2850000,2827938,2739,1363,16.8219,18.4469,-0.0461,-0.0072,-0.0056
LG1,2850001,2900000,2875375,3402,1830,25.6094,14.3937,0.2804,0.0355,0.0305
LG1,2900001,2950000,2922722,2926,1872,55.5156,21.1687,0.4479,0.0932,0.0832
LG1,2950001,3000000,2973759,2780,1580,12.9063,42.8437,-0.537,-0.1138,-0.0787
LG1,3000001,3050000,3025871,3166,1814,22.0781,10.3469,0.3618,0.0391,0.0325
LG1,3050001,3100000,3074357,3181,1753,13.375,15.7656,-0.082,-0.0087,-0.0076
LG1,3100001,3150000,3126897,2909,1604,17.9172,12.1484,0.1919,0.0233,0.0189
LG1,3150001,3200000,3177040,3293,1914,18.5297,14.2016,0.1322,0.0143,0.0126
LG1,3200001,3250000,3223839,3409,1935,46.3687,19.4813,0.4083,0.0881,0.0711
LG1,3250001,3300000,3276149,3165,1672,67.1641,16.1828,0.6117,0.1366,0.1101
LG1,3300001,3350000,3324079,3247,1560,8.7531,10.2656,-0.0795,-0.0058,-0.0048
LG1,3350001,3400000,3373847,2440,1226,1.7859,4.5359,-0.435,-0.0139,-0.012
LG1,3400001,3450000,3414195,1847,854,6.7547,6.8828,-0.0094,-0.0008,-0.0007
LG1,3450001,3500000,3479263,2581,1417,13.0625,5.6563,0.3957,0.0236,0.0216
LG1,3500001,3550000,3524353,3412,1768,24.5891,23.0078,0.0332,0.0041,0.0033
LG1,3550001,3600000,3573892,3435,1638,24.1109,11.6516,0.3484,0.0444,0.038
LG1,3600001,3650000,3622110,2876,1373,9.4234,11.9734,-0.1192,-0.0104,-0.0091
LG1,3650001,3700000,3676019,2998,1349,9.4219,11.7594,-0.1104,-0.0135,-0.0102
LG1,3700001,3750000,3725997,3534,1941,41.0875,22.4313,0.2937,0.0587,0.046
LG1,3750001,3800000,3776345,4073,2347,32.4766,36.9484,-0.0644,-0.013,-0.0106
LG1,3800001,3850000,3822576,3711,1755,27.5578,21.7734,0.1173,0.024,0.0192
LG1,3850001,3900000,3876332,3636,1939,8.8359,16.7609,-0.3096,-0.0263,-0.0232
LG1,3900001,3950000,3925836,3644,1869,30.7875,39.9875,-0.13,-0.03,-0.0237
LG1,3950001,4000000,3974418,3490,1839,37.6453,25.0422,0.201,0.0416,0.0335
LG1,4000001,4050000,4023946,3525,2083,29.7719,80.8469,-0.4617,-0.1778,-0.1178
LG1,4050001,4100000,4072327,3513,1911,39.2766,39.0859,0.0024,0.0007,0.0005
LG1,4100001,4150000,4131278,1877,1133,4.9813,3.0969,0.2333,0.0083,0.0079
LG1,4150001,4200000,4175135,3255,1907,8.2922,10.8609,-0.1341,-0.0156,-0.0112
LG1,4200001,4250000,4225026,3536,1924,12.9125,16.1406,-0.1111,-0.0149,-0.0125
LG1,4250001,4300000,4275602,3957,2188,36.2953,41.2609,-0.064,-0.0168,-0.0127
LG1,4300001,4350000,4328632,2543,1399,31.9063,27.8594,0.0677,0.0365,0.0223
LG1,4350001,4400000,4373060,3918,2220,52.9906,13.0,0.606,0.2172,0.1523
LG1,4400001,4450000,4425014,3177,2061,122.4719,22.125,0.694,0.284,0.2261
LG1,4450001,4500000,4474103,3666,2078,45.75,37.1156,0.1042,0.0369,0.0244
LG1,4500001,4550000,4525512,3521,1686,28.1328,5.7984,0.6582,0.0836,0.0703
LG1,4550001,4600000,4572462,3487,2014,26.2578,20.9203,0.1131,0.0198,0.0167
LG1,4600001,4650000,4625012,4323,2362,52.7,51.1094,0.0153,0.0041,0.0032
LG1,4650001,4700000,4679339,3600,1924,30.8984,48.1078,-0.2178,-0.0545,-0.04
LG1,4700001,4750000,4723448,4328,2523,33.3609,15.5984,0.3628,0.0257,0.022
LG1,4750001,4800000,4777241,2070,986,23.2781,9.4437,0.4228,0.1287,0.0897
LG1,4800001,4850000,4834968,1882,887,13.0109,13.3453,-0.0127,-0.003,-0.0024
LG1,4850001,4900000,4870571,3519,1892,52.1109,59.4328,-0.0656,-0.0191,-0.0127
