scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,50000,24379,2504,1229,6.3537,4.7412,0.1453,0.0099,0.0088
LG1,50001,100000,71096,2282,1046,18.1212,7.9213,0.3917,0.0625,0.0538
LG1,100001,150000,127730,2402,1268,13.1937,13.6188,-0.0159,-0.0021,-0.0018
LG1,150001,200000,175054,2811,1283,9.7837,7.2338,0.1498,0.0151,0.0124
LG1,200001,250000,220897,2588,1199,6.8575,8.7825,-0.1231,-0.012,-0.01
LG1,250001,300000,272264,3861,1894,39.455,36.5675,0.038,0.0098,0.0075
LG1,300001,350000,323791,4081,2145,15.035,12.785,0.0809,0.0056,0.0051
LG1,350001,400000,375120,3304,1495,11.2937,8.0812,0.1658,0.0134,0.011
LG1,400001,450000,426321,2887,1274,14.6462,11.0087,0.1418,0.0173,0.0136
LG1,450001,500000,475235,3407,1623,9.1975,8.685,0.0287,0.0015,0.0014
LG1,500001,550000,523710,2934,1430,19.0738,53.9987,-0.4779,-0.134,-0.1023
LG1,550001,600000,578709,2051,929,10.0712,9.1088,0.0502,0.0051,0.0046
LG1,600001,650000,625363,2397,1046,7.0463,18.4838,-0.448,-0.0775,-0.0634
LG1,650001,700000,676878,2595,1291,3.0112,4.9112,-0.2398,-0.0075,-0.0071
LG1,700001,750000,728826,3341,1541,19.45,15.9875,0.0977,0.0102,0.0093
LG1,750001,800000,779431,2167,1006,11.1987,12.4863,-0.0544,-0.0078,-0.0068
LG1,800001,850000,827183,3335,1346,12.2437,11.4812,0.0321,0.0037,0.0035
LG1,850001,900000,878927,2137,1084,5.985,11.0225,-0.2962,-0.0286,-0.0257
LG1,900001,950000,926323,1676,520,7.905,6.03,0.1346,0.0282,0.0244
LG1,950001,1000000,974107,3065,1539,10.6487,31.7238,-0.4974,-0.074,-0.0563
LG1,1000001,1050000,1026264,2569,1311,14.0512,6.9388,0.3389,0.0256,0.0222
LG1,1050001,1100000,1076080,2985,1410,8.5313,3.8562,0.3774,0.0237,0.0213
LG1,1100001,1150000,1124947,2483,1152,25.5475,61.31,-0.4117,-0.3883,-0.2294
LG1,1150001,1200000,1176433,2051,1100,44.6325,34.845,0.1231,0.1669,0.0508
LG1,1200001,1250000,1224998,2522,1222,28.6088,37.7963,-0.1384,-0.0938,-0.056
LG1,1250001,1300000,1277907,2933,1517,13.5987,16.5987,-0.0993,-0.0177,-0.0146
LG1,1300001,1350000,1324106,2704,1285,14.575,11.0125,0.1392,0.0154,0.0133
LG1,1350001,1400000,1373709,3105,1521,10.2813,10.5062,-0.0108,-0.0009,-0.0008
LG1,1400001,1450000,1422454,1613,717,5.1888,4.7762,0.0414,0.0031,0.0028
LG1,1450001,1500000,1478854,1952,920,12.5975,12.4475,0.006,0.0008,0.0006
LG1,1500001,1550000,1524651,3001,1574,12.7488,8.6487,0.1916,0.0148,0.0129
LG1,1550001,1600000,1568648,1906,1050,17.06,9.8725,0.2669,0.0327,0.0272
LG1,1600001,1650000,1624012,3234,1750,29.1313,16.0688,0.289,0.0463,0.0373
LG1,1650001,1700000,1673143,3040,1750,17.2925,25.08,-0.1838,-0.0279,-0.0192
LG1,1700001,1750000,1722837,2357,1010,15.1312,10.2063,0.1944,0.0355,0.0267
LG1,1750001,1800000,1778010,3491,1767,31.2025,48.0025,-0.2121,-0.072,-0.0519
LG1,1800001,1850000,1825551,4051,1819,21.5475,32.1725,-0.1978,-0.0329,-0.0257
LG1,1850001,1900000,1874414,3023,1550,19.17,47.12,-0.4216,-0.1635,-0.1111
LG1,1900001,1950000,1928642,1020,579,17.3987,22.7488,-0.1333,-0.0826,-0.0514
LG1,1950001,2000000,1981320,1769,853,17.2225,15.6225,0.0487,0.0072,0.0062
LG1,2000001,2050000,2025850,3383,1852,6.56,13.3975,-0.3426,-0.0238,-0.0206
LG1,2050001,2100000,2074352,3252,1585,13.7213,21.3212,-0.2169,-0.0367,-0.0246
LG1,2100001,2150000,2123953,3389,1641,9.725,10.675,-0.0466,-0.0037,-0.0033
LG1,2150001,2200000,2178771,1836,943,6.0962,6.9337,-0.0643,-0.0049,-0.0042
LG1,2200001,2250000,2225587,2971,1492,6.8963,8.7837,-0.1204,-0.008,-0.0073
LG1,2250001,2300000,2271474,2726,1319,9.4887,11.0137,-0.0744,-0.0105,-0.009
LG1,2300001,2350000,2325037,3055,1607,11.5325,13.9825,-0.096,-0.0203,-0.0137
LG1,2350001,2400000,2374180,1961,926,10.695,12.245,-0.0676,-0.0128,-0.011
LG1,2400001,2450000,2430167,1540,795,2.8813,3.2813,-0.0649,-0.0032,-0.0028
LG1,2450001,2500000,2474892,3159,1641,14.925,7.3375,0.3408,0.0282,0.0246
LG1,2500001,2550000,2524323,3488,1816,28.945,10.045,0.4847,0.0639,0.0546
LG1,2550001,2600000,2574696,3286,1639,9.9288,14.9288,-0.2011,-0.0189,-0.0166
LG1,2600001,2650000,2625711,3482,1763,29.5162,27.8788,0.0285,0.0058,0.0044
LG1,2650001,2700000,2675450,3450,1664,12.2687,12.7937,-0.0209,-0.0026,-0.0022
LG1,2700001,2750000,2718277,1249,611,20.7563,12.1937,0.2599,0.0564,0.051
LG1,2750001,2800000,2772946,3577,1591,25.185,18.2725,0.1591,0.0296,0.0236
LG1,2800001,2850000,2827938,2739,1255,11.48,12.405,-0.0387,-0.0049,-0.0043
LG1,2850001,2900000,2875375,3402,1646,16.5113,10.7862,0.2097,0.0197,0.0168
LG1,2900001,2950000,2922722,2926,1724,17.7538,17.8912,-0.0039,-0.0004,-0.0004
LG1,2950001,3000000,2973759,2780,1444,17.3788,9.4287,0.2966,0.0331,0.0291
LG1,3000001,3050000,3025871,3166,1716,24.92,6.17,0.6031,0.0621,0.0504
LG1,3050001,3100000,3074357,3181,1615,7.9912,13.5412,-0.2577,-0.0216,-0.0185
