Sample	Population
159357_83	aridus    
159357_84   	aridus    
195935_1    	aridus    
AUR_T102_3  	aurantiacus    
AUR_T104_9      	aurantiacus    
AUR_T50_2       	aurantiacus    
AUR_T92_6       	aurantiacus    
BCRD11  	puniceus_sd_Y
CAL_T144_3      	calycinus
CAL_T150_10     	calycinus
CAL_T90_2       	calycinus
CAL_T91_7       	calycinus
CLV_GH  	clevelandii
CLV11   	clevelandii
CLV4    	clevelandii
ELF11   	puniceus_sd_R
FLE_KK168       	parviflorus
INJ10   	puniceus_sd_Y
JMC19   	puniceus_sd_R
KK161   	parviflorus
KK180   	parviflorus
KK182   	parviflorus
LFP13   	puniceus_oc
LH19-2  	puniceus_sd_R
LO4     	puniceus_sd_Y
LON_DPR_Y3      	longiflorus
LON_SS_Y16      	longiflorus
LON_T33_1       	longiflorus
LON_T8_8        	longiflorus
MT10    	puniceus_sd_R
MTH15   	puniceus_oc
MTH17   	puniceus_oc
PCT7    	puniceus_sd_Y
POTR15  	puniceus_sd_Y
RPR16	puniceus_oc
RUT_DPR_R12     	longiflorus
RUT_MBR4_R3     	longiflorus
RUT_SS_R19      	longiflorus
RUT_WTF_R1      	longiflorus
T84_79  	aridus    
UCSD13  	puniceus_sd_R
VCR14   	puniceus_oc
VCR17	puniceus_oc
