scaffold	start	end	Fst_AUR_ARI	Fst_BIF_ARI	Fst_CAL_ARI	Fst_CLV_ARI	Fst_FLE_ARI	Fst_LON_ARI	Fst_AUR_BIF	Fst_AUR_CAL	Fst_AUR_CLV	Fst_AUR_FLE	Fst_LON_AUR	Fst_ARI_AUS	Fst_AUR_AUS	Fst_BIF_AUS	Fst_CAL_AUS	Fst_CLV_AUS	Fst_FLE_AUS	Fst_LON_AUS	Fst_CAL_BIF	Fst_CLV_BIF	Fst_FLE_BIF	Fst_LON_BIF	Fst_CAL_FLE	Fst_LON_CAL	Fst_CAL_CLV	Fst_FLE_CLV	Fst_LON_CLV	Fst_LON_FLE	Fst_PUN_ARI	Fst_PUN_AUR	Fst_PUN_AUS	Fst_PUN_BIF	Fst_PUN_CAL	Fst_PUN_CLV	Fst_PUN_FLE	Fst_PUN_LON	dxy_AUR_ARI	dxy_BIF_ARI	dxy_CAL_ARI	dxy_CLV_ARI	dxy_FLE_ARI	dxy_LON_ARI	dxy_AUR_BIF	dxy_AUR_CAL	dxy_AUR_CLV	dxy_AUR_FLE	dxy_LON_AUR	dxy_ARI_AUS	dxy_AUR_AUS	dxy_BIF_AUS	dxy_CAL_AUS	dxy_CLV_AUS	dxy_FLE_AUS	dxy_LON_AUS	dxy_CAL_BIF	dxy_CLV_BIF	dxy_FLE_BIF	dxy_LON_BIF	dxy_CAL_FLE	dxy_LON_CAL	dxy_CAL_CLV	dxy_FLE_CLV	dxy_LON_CLV	dxy_LON_FLE	dxy_PUN_ARI	dxy_PUN_AUR	dxy_PUN_AUS	dxy_PUN_BIF	dxy_PUN_CAL	dxy_PUN_CLV	dxy_PUN_FLE	dxy_PUN_LON	pi_ARI	pi_AUR	pi_AUS	pi_BIF	pi_CAL	pi_CLV	pi_FLE	pi_LON	pi_PUN	fst_Prin1	dxy_Prin1	pi_Prin1	gene_count_per_window	cm/mb	tree_concordance
LG1	1	500000	0.5154	0.6812	0.5155	0.7207	0.5223	0.4958	0.5799	0.1308	0.6772	0.4865	0.1572	0.5556	0.2047	0.6267	0.138	0.7031	0.5149	0.122	0.602	0.7235	0.6753	0.5905	0.4839	0.0554	0.6931	0.7262	0.6778	0.482	0.59	0.2499	0.0823	0.6558	0.2037	0.727	0.5508	0.1839	0.01086037	0.01522249	0.010410351	0.014481279	0.008331802	0.010472942	0.013251569	0.005560856	0.014739357	0.009596337	0.006047665	0.010735458	0.00601986	0.013845871	0.005269744	0.014632673	0.009099639	0.005328727	0.013727135	0.014538557	0.013619472	0.01392619	0.009033445	0.005061556	0.014658097	0.013628955	0.014607977	0.009023664	0.010903653	0.006094238	0.003927037	0.013946291	0.005427796	0.014713237	0.009275028	0.005473741	0.003206843	0.004608236	0.003743279	0.003441933	0.004495435	0.0027674	0.002827466	0.004851767	0.002968644	1.542536826	-2.309664695	-0.958263037	71	2.671872895	0.9702049
LG1	500001	1000000	0.4344	0.5663	0.5201	0.7241	0.5537	0.5246	0.3084	0.1214	0.5364	0.2609	0.1052	0.5121	0.1136	0.4288	0.1111	0.6204	0.3257	0.0941	0.4261	0.586	0.4813	0.4183	0.2898	0.0875	0.6311	0.6762	0.6273	0.322	0.5267	0.1373	0.0277	0.4473	0.1578	0.6431	0.354	0.1294	0.010421272	0.012524888	0.010002605	0.013146748	0.009134883	0.010053221	0.010540333	0.006899192	0.012771809	0.008116184	0.006680761	0.009654382	0.006618186	0.011211897	0.00543968	0.012775305	0.007303156	0.005241966	0.011503304	0.012734214	0.011733561	0.011344309	0.006951506	0.005354007	0.013085364	0.012863179	0.012940608	0.0074119	0.00946899	0.006664916	0.004321204	0.011220736	0.005693118	0.012759392	0.007382456	0.005345658	0.002313313	0.006502357	0.004312382	0.005432043	0.004557144	0.00281914	0.003385705	0.004467652	0.003887466	-5.143599071	-4.949752685	-0.090531507	67	0.183166127	0.9242797
LG1	1000001	1500000	0.5309	0.5513	0.4896	0.7095	0.4836	0.4657	0.4689	0.1798	0.6743	0.3755	0.1291	0.4825	0.1717	0.4519	0.1149	0.6303	0.3477	0.0984	0.4612	0.6274	0.4875	0.4314	0.3636	0.0681	0.6612	0.669	0.6429	0.3237	0.5296	0.2014	0.0547	0.4919	0.1514	0.672	0.3813	0.1257	0.008291421	0.010429076	0.00770361	0.01112847	0.007344504	0.008081235	0.009700974	0.004755965	0.011875142	0.006952042	0.004961353	0.00809815	0.005136099	0.00986297	0.004511025	0.011595373	0.006982607	0.004977957	0.009825175	0.011754628	0.010003692	0.00976701	0.006829025	0.004299783	0.011526434	0.011928653	0.011932179	0.007001643	0.008240264	0.005000014	0.003997217	0.01001707	0.004411992	0.012313721	0.006944291	0.004874567	0.002252884	0.003487711	0.00394326	0.004545844	0.00351288	0.002311343	0.003342534	0.004385507	0.003260773	-3.543147948	-8.124432082	-1.365784992	73	2.293886911	0.984721
LG1	1500001	2000000	0.5044	0.5836	0.5316	0.796	0.5115	0.5028	0.4778	0.1691	0.715	0.4137	0.1309	0.4717	0.1616	0.4675	0.1508	0.6744	0.3734	0.1393	0.5038	0.7077	0.5245	0.482	0.4344	0.0773	0.7391	0.7397	0.7147	0.4082	0.5086	0.1861	0.1161	0.5045	0.184	0.7148	0.4148	0.163	0.009901988	0.012370113	0.009851165	0.01273423	0.008515712	0.009858151	0.012275461	0.005889938	0.012871877	0.008840343	0.005871155	0.00985678	0.006429908	0.012518176	0.006109616	0.012884702	0.008550415	0.006261653	0.012363776	0.013153264	0.011711505	0.012438145	0.008615515	0.005054135	0.012918057	0.012561328	0.012956766	0.008787997	0.009761683	0.006301738	0.005695215	0.012573023	0.005840256	0.01282256	0.008593691	0.006023899	0.002615063	0.004676739	0.004970717	0.004734521	0.004076873	0.001446546	0.003441122	0.004708111	0.00414545	-0.93952859	-4.011460192	-0.837105701	61	1.383548452	0.9701014
LG1	2000001	2500000	0.5009	0.6458	0.4886	0.7984	0.5765	0.4805	0.5212	0.1806	0.7185	0.4565	0.178	0.5361	0.2604	0.5993	0.1588	0.7535	0.47	0.1546	0.5546	0.7411	0.65	0.5466	0.4345	0.0392	0.7253	0.8072	0.7166	0.4262	0.5855	0.3056	0.0744	0.6392	0.23	0.7925	0.5203	0.2161	0.009434487	0.013373257	0.009181548	0.015690028	0.008181321	0.009266172	0.012124506	0.006087232	0.015381244	0.008249419	0.006212443	0.009092444	0.006354082	0.013364741	0.005231408	0.015609548	0.007459817	0.005333254	0.013125128	0.015707035	0.013170916	0.013238575	0.007996056	0.004826169	0.015541192	0.015323495	0.015576485	0.008088664	0.008927355	0.006160219	0.003387822	0.013225366	0.00534289	0.015493008	0.007286693	0.005363715	0.002469407	0.004399711	0.00335722	0.003870151	0.004401013	0.001791805	0.002294284	0.004626996	0.002520784	1.914511149	-3.562120264	-1.626804934	69	1.382417793	0.9898397
LG1	2500001	3000000	0.5514	0.617	0.5181	0.8164	0.5756	0.5079	0.5396	0.1774	0.7726	0.4479	0.1383	0.5293	0.2135	0.5487	0.1293	0.7668	0.4243	0.108	0.5276	0.7337	0.5789	0.5158	0.4168	0.031	0.7552	0.8082	0.7529	0.3927	0.5922	0.2811	0.0812	0.592	0.176	0.81	0.4945	0.1571	0.010350063	0.013932754	0.010211732	0.015209029	0.009407119	0.010312435	0.013268215	0.005864321	0.015363288	0.008478492	0.00566679	0.010165065	0.006012057	0.013570746	0.005393056	0.015310447	0.008255168	0.005397167	0.013428114	0.015244584	0.013242303	0.01347839	0.008369746	0.004848824	0.015119583	0.015286692	0.015199407	0.008352163	0.010259386	0.00600589	0.004100559	0.013554561	0.005175831	0.015184573	0.008301261	0.005225554	0.002680826	0.004029309	0.00406134	0.004778573	0.004513592	0.001439933	0.003017551	0.004816461	0.002960305	1.045139685	-2.739126443	-1.243035155	63	2.269253152	0.9884925
LG1	3000001	3500000	0.6656	0.7033	0.6028	0.8503	0.5833	0.6257	0.6363	0.1722	0.8099	0.5051	0.2046	0.6277	0.255	0.6244	0.1584	0.7873	0.481	0.1578	0.5804	0.7788	0.6154	0.6111	0.4465	0.0751	0.7719	0.7781	0.7854	0.4676	0.6493	0.263	0.0988	0.6479	0.1572	0.7971	0.4996	0.144	0.009750317	0.013223191	0.010026178	0.017214854	0.008600163	0.009922356	0.012244165	0.004384016	0.016580002	0.008254417	0.004374199	0.009693181	0.004611276	0.012547557	0.004542377	0.016659175	0.008440822	0.004283836	0.012216836	0.016347435	0.0124644	0.012506195	0.008589712	0.004062186	0.016606442	0.016735894	0.016677671	0.008532143	0.009692964	0.00438272	0.003426041	0.012456363	0.00430174	0.016559735	0.008390145	0.003942769	0.001721787	0.002646268	0.003011717	0.003417592	0.003761151	0.001730154	0.003271355	0.003348034	0.002659017	4.015704124	-3.754175286	-2.398140288	71	3.372479585	0.9903349
LG1	3500001	4000000	0.6129	0.6633	0.5627	0.7963	0.6137	0.562	0.609	0.2344	0.7682	0.5477	0.2299	0.5521	0.2761	0.5691	0.1289	0.713	0.4996	0.1133	0.5708	0.7267	0.6399	0.5719	0.5034	0.0615	0.7314	0.7854	0.7306	0.4975	0.5839	0.3129	0.0454	0.5959	0.1505	0.7409	0.5315	0.1471	0.011872535	0.015540986	0.011766278	0.017367328	0.010870019	0.011880047	0.01512075	0.006425476	0.017330588	0.010690691	0.00636937	0.01188356	0.007092494	0.015461075	0.005887542	0.01728739	0.01094811	0.005719031	0.015137061	0.017588203	0.015437032	0.015201486	0.010776233	0.00514005	0.017267499	0.017201678	0.017361569	0.010727368	0.011913475	0.007087875	0.00469889	0.015435644	0.005732318	0.01725694	0.010931266	0.005709294	0.002654387	0.003628272	0.004615834	0.004609653	0.004608334	0.002299963	0.0030194	0.004643213	0.004002628	2.471363556	1.2461417	-0.871168969	60	3.46067687	0.9791501
LG1	4000001	4500000	0.4971	0.5766	0.4077	0.7593	0.4904	0.4591	0.5435	0.1496	0.745	0.4814	0.2183	0.4275	0.254	0.5265	0.1182	0.6956	0.4009	0.125	0.4724	0.7064	0.5785	0.5061	0.3871	0.0625	0.6762	0.7682	0.7098	0.44	0.4473	0.2894	0.0422	0.5502	0.1588	0.7161	0.4332	0.1645	0.011233967	0.014746849	0.011343377	0.017509715	0.009830534	0.011535246	0.014529504	0.007259658	0.017538682	0.010626851	0.007533399	0.010858466	0.008110566	0.015422034	0.007577411	0.01798482	0.010111027	0.007070042	0.01466185	0.017093094	0.014255742	0.014682477	0.010710088	0.006844326	0.017938811	0.017486802	0.017985814	0.010865462	0.010630529	0.008199779	0.005666864	0.015319642	0.007765964	0.017935134	0.010160229	0.00718052	0.003798546	0.004471655	0.005561705	0.004994868	0.006665648	0.002185147	0.003539397	0.005636461	0.00489765	-1.130329628	1.543067747	0.428612722	57	2.851189362	0.9862406
LG1	4500001	5000000	0.5277	0.6569	0.5305	0.7763	0.5553	0.5611	0.5067	0.1611	0.673	0.4719	0.2036	0.533	0.2122	0.5631	0.1507	0.6929	0.4872	0.1957	0.543	0.7072	0.6267	0.5692	0.4833	0.1095	0.6915	0.7581	0.7188	0.5126	0.5219	0.26	0.1105	0.5698	0.2044	0.6998	0.475	0.2402	0.011636152	0.015181268	0.011415092	0.016112315	0.009398789	0.011439272	0.013680371	0.006994741	0.015462387	0.01102263	0.007150875	0.011018505	0.007354159	0.014689613	0.006285653	0.015381649	0.010454219	0.006517438	0.01441669	0.016064618	0.014860834	0.014578859	0.010769404	0.005782584	0.01546039	0.015508563	0.015542681	0.010858059	0.010433663	0.008033855	0.005476709	0.014858133	0.006918537	0.015267414	0.009969266	0.007046127	0.002787189	0.005544997	0.004508802	0.004412332	0.005012298	0.002214604	0.003130508	0.004439709	0.004351844	1.654697468	0.2491104	-0.441428142	52	5.123071452	0.9647089
