scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,50000,24379,2504,1384,8.3258,8.3695,-0.0026,-0.0003,-0.0002
LG1,50001,100000,71096,2282,1175,15.9172,30.9047,-0.3201,-0.0924,-0.0674
LG1,100001,150000,127730,2402,1395,13.7047,22.2734,-0.2382,-0.0423,-0.0333
LG1,150001,200000,175054,2811,1446,10.0375,13.6953,-0.1541,-0.0202,-0.0169
LG1,200001,250000,220897,2588,1297,5.8336,9.7273,-0.2502,-0.0249,-0.0211
LG1,250001,300000,272264,3861,1945,18.493,36.5195,-0.3277,-0.0715,-0.053
LG1,300001,350000,323791,4081,2243,15.1703,15.0,0.0056,0.0004,0.0004
LG1,350001,400000,375120,3304,1756,13.707,23.1445,-0.2561,-0.0404,-0.0332
LG1,400001,450000,426321,2887,1594,25.2281,17.7594,0.1737,0.0306,0.0243
LG1,450001,500000,475235,3407,1905,23.8469,36.4531,-0.2091,-0.033,-0.0269
LG1,500001,550000,523710,2934,1541,28.043,34.4227,-0.1021,-0.0224,-0.0195
LG1,550001,600000,578709,2051,1007,8.6289,9.6086,-0.0537,-0.0053,-0.0046
LG1,600001,650000,625363,2397,1212,23.6133,19.0273,0.1075,0.0233,0.0193
LG1,650001,700000,676878,2595,1425,9.1219,9.4906,-0.0198,-0.0013,-0.0011
LG1,700001,750000,728826,3341,1808,21.1984,18.9047,0.0572,0.0067,0.0059
LG1,750001,800000,779431,2167,1139,11.1258,8.4789,0.135,0.0163,0.0125
LG1,800001,850000,827183,3335,1640,24.0992,9.3805,0.4396,0.0632,0.0541
LG1,850001,900000,878927,2137,1218,9.5164,7.4289,0.1232,0.0114,0.0103
LG1,900001,950000,926323,1676,658,8.7164,7.1805,0.0966,0.0237,0.0163
LG1,950001,1000000,974107,3065,1770,22.3875,38.4516,-0.264,-0.0529,-0.0436
LG1,1000001,1050000,1026264,2569,1438,15.3523,6.7508,0.3892,0.0304,0.0259
LG1,1050001,1100000,1076080,2985,1672,14.4594,13.3453,0.0401,0.0049,0.0041
LG1,1100001,1150000,1124947,2483,1294,25.9648,74.7367,-0.4843,-0.6614,-0.2696
LG1,1150001,1200000,1176433,2051,1195,48.5773,51.5852,-0.03,-0.0345,-0.0221
LG1,1200001,1250000,1224998,2522,1379,19.3578,51.3187,-0.4522,-0.3732,-0.197
LG1,1250001,1300000,1277907,2933,1703,17.1398,18.3258,-0.0334,-0.0066,-0.0055
LG1,1300001,1350000,1324106,2704,1513,12.3461,12.5148,-0.0068,-0.0007,-0.0006
LG1,1350001,1400000,1373709,3105,1773,10.9867,12.9898,-0.0835,-0.0076,-0.0067
LG1,1400001,1450000,1422454,1613,837,6.7484,6.4219,0.0248,0.0024,0.0021
LG1,1450001,1500000,1478854,1952,1056,17.7969,45.4047,-0.4368,-0.142,-0.1047
LG1,1500001,1550000,1524651,3001,1821,15.8766,24.4953,-0.2135,-0.0308,-0.0251
LG1,1550001,1600000,1568648,1906,1081,12.8031,6.1906,0.3481,0.0322,0.0278
LG1,1600001,1650000,1624012,3234,1870,22.4055,14.6445,0.2095,0.0285,0.0227
LG1,1650001,1700000,1673143,3040,1884,17.0977,28.6836,-0.2531,-0.0405,-0.0292
LG1,1700001,1750000,1722837,2357,1231,16.4742,11.7789,0.1662,0.0323,0.0275
LG1,1750001,1800000,1778010,3491,2043,57.9695,38.7227,0.1991,0.0724,0.0516
LG1,1800001,1850000,1825551,4051,2190,24.0641,36.3312,-0.2031,-0.0357,-0.0284
LG1,1850001,1900000,1874414,3023,1831,24.9164,45.9305,-0.2966,-0.1033,-0.0681
LG1,1900001,1950000,1928642,1020,657,20.1031,26.2422,-0.1325,-0.0873,-0.0538
LG1,1950001,2000000,1981320,1769,1022,18.1828,41.9625,-0.3954,-0.1114,-0.0855
LG1,2000001,2050000,2025850,3383,2111,18.2953,31.625,-0.267,-0.0413,-0.0331
LG1,2050001,2100000,2074352,3252,1894,29.9867,28.4352,0.0266,0.0058,0.0044
LG1,2100001,2150000,2123953,3389,1992,23.3547,18.3562,0.1198,0.0155,0.0124
LG1,2150001,2200000,2178771,1836,1139,21.607,12.2398,0.2768,0.0445,0.0342
LG1,2200001,2250000,2225587,2971,1979,22.0469,14.0453,0.2217,0.0276,0.0231
LG1,2250001,2300000,2271474,2726,1502,13.6773,9.4867,0.1809,0.0276,0.0235
LG1,2300001,2350000,2325037,3055,1778,14.0922,19.6297,-0.1642,-0.0417,-0.0309
LG1,2350001,2400000,2374180,1961,1035,15.9641,13.1281,0.0975,0.0216,0.0185
LG1,2400001,2450000,2430167,1540,911,2.9539,4.1211,-0.165,-0.0088,-0.0077
LG1,2450001,2500000,2474892,3159,1896,12.8125,12.1531,0.0264,0.0024,0.0022
LG1,2500001,2550000,2524323,3488,2050,28.6766,12.5297,0.3919,0.0542,0.0478
LG1,2550001,2600000,2574696,3286,1869,10.4445,18.8258,-0.2863,-0.0307,-0.0267
LG1,2600001,2650000,2625711,3482,1954,42.757,21.1242,0.3386,0.0732,0.0627
