scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,50000,24379,2504,1222,5.9667,7.8542,-0.1366,-0.0119,-0.0099
LG1,50001,100000,71096,2282,1066,20.1073,5.6469,0.5615,0.0859,0.07
LG1,100001,150000,127730,2402,1297,12.0729,14.9333,-0.1059,-0.0145,-0.0113
LG1,150001,200000,175054,2811,1309,8.7917,6.775,0.1296,0.012,0.0102
LG1,200001,250000,220897,2588,1179,7.0896,9.6396,-0.1524,-0.0163,-0.0131
LG1,250001,300000,272264,3861,1850,41.176,32.0594,0.1245,0.0308,0.0234
LG1,300001,350000,323791,4081,2084,13.4948,7.6865,0.2742,0.0145,0.0129
LG1,350001,400000,375120,3304,1580,13.9635,9.1094,0.2104,0.0199,0.0167
LG1,400001,450000,426321,2887,1323,9.226,12.3927,-0.1465,-0.0154,-0.0131
LG1,450001,500000,475235,3407,1745,9.6125,10.4375,-0.0411,-0.0024,-0.0022
LG1,500001,550000,523710,2934,1487,14.0167,69.4875,-0.6643,-0.2247,-0.1537
LG1,550001,600000,578709,2051,956,12.3344,9.7594,0.1165,0.013,0.01
LG1,600001,650000,625363,2397,1144,17.1438,17.5812,-0.0126,-0.0025,-0.0021
LG1,650001,700000,676878,2595,1326,2.8229,5.3687,-0.3108,-0.0099,-0.0093
LG1,700001,750000,728826,3341,1684,14.6115,18.5365,-0.1184,-0.0122,-0.0105
LG1,750001,800000,779431,2167,1023,9.6875,9.15,0.0285,0.0034,0.0029
LG1,800001,850000,827183,3335,1419,11.6156,14.5219,-0.1112,-0.0139,-0.0117
LG1,850001,900000,878927,2137,1103,7.7583,7.9833,-0.0143,-0.0012,-0.0011
LG1,900001,950000,926323,1676,586,9.3354,5.5625,0.2533,0.0564,0.0429
LG1,950001,1000000,974107,3065,1661,16.3458,31.4542,-0.3161,-0.0513,-0.0421
LG1,1000001,1050000,1026264,2569,1348,14.6375,7.7417,0.3081,0.0246,0.0221
LG1,1050001,1100000,1076080,2985,1494,11.9115,8.274,0.1802,0.0174,0.0148
LG1,1100001,1150000,1124947,2483,1171,23.8833,69.8271,-0.4903,-0.5376,-0.2739
LG1,1150001,1200000,1176433,2051,1090,30.2156,55.6427,-0.2962,-0.352,-0.2132
LG1,1200001,1250000,1224998,2522,1251,49.625,39.3854,0.115,0.0776,0.0589
LG1,1250001,1300000,1277907,2933,1593,14.8792,18.4375,-0.1068,-0.0206,-0.0167
LG1,1300001,1350000,1324106,2704,1325,14.6521,11.8833,0.1043,0.0121,0.0101
LG1,1350001,1400000,1373709,3105,1544,12.3906,9.4406,0.1351,0.0117,0.0098
LG1,1400001,1450000,1422454,1613,736,4.5542,5.225,-0.0686,-0.0049,-0.0043
LG1,1450001,1500000,1478854,1952,947,12.6802,12.7906,-0.0043,-0.0005,-0.0005
LG1,1500001,1550000,1524651,3001,1619,12.3417,8.0021,0.2133,0.0157,0.0141
LG1,1550001,1600000,1568648,1906,1043,18.175,14.0417,0.1283,0.0186,0.015
LG1,1600001,1650000,1624012,3234,1745,21.374,28.3031,-0.1395,-0.0248,-0.018
LG1,1650001,1700000,1673143,3040,1783,17.5448,25.2115,-0.1793,-0.0267,-0.0191
LG1,1700001,1750000,1722837,2357,1046,15.5531,9.1156,0.261,0.046,0.0377
LG1,1750001,1800000,1778010,3491,1772,41.749,42.4135,-0.0079,-0.0027,-0.0021
LG1,1800001,1850000,1825551,4051,2036,20.4365,38.4823,-0.3063,-0.0557,-0.0433
LG1,1850001,1900000,1874414,3023,1677,20.6719,29.074,-0.1689,-0.0472,-0.0354
LG1,1900001,1950000,1928642,1020,651,17.1,15.5646,0.047,0.0248,0.0194
LG1,1950001,2000000,1981320,1769,961,18.1469,21.8302,-0.0921,-0.0167,-0.014
LG1,2000001,2050000,2025850,3383,1936,6.6906,17.3719,-0.4439,-0.0371,-0.0327
LG1,2050001,2100000,2074352,3252,1635,13.9802,20.124,-0.1801,-0.0298,-0.0223
LG1,2100001,2150000,2123953,3389,1723,10.9021,11.6875,-0.0348,-0.0029,-0.0023
LG1,2150001,2200000,2178771,1836,1037,22.3177,15.3073,0.1863,0.0349,0.0268
LG1,2200001,2250000,2225587,2971,1564,10.1146,11.7875,-0.0764,-0.0068,-0.006
LG1,2250001,2300000,2271474,2726,1351,10.125,9.3667,0.0389,0.0051,0.0046
LG1,2300001,2350000,2325037,3055,1670,11.5125,17.9667,-0.2189,-0.0514,-0.038
LG1,2350001,2400000,2374180,1961,966,14.2135,11.9115,0.0881,0.0178,0.0157
LG1,2400001,2450000,2430167,1540,836,2.7385,4.7156,-0.2652,-0.0154,-0.0138
LG1,2450001,2500000,2474892,3159,1710,11.8823,10.8531,0.0453,0.0038,0.0033
LG1,2500001,2550000,2524323,3488,1795,28.9531,8.8219,0.5329,0.0684,0.0561
LG1,2550001,2600000,2574696,3286,1709,15.5458,20.5313,-0.1382,-0.0173,-0.0139
LG1,2600001,2650000,2625711,3482,1805,29.3833,28.1125,0.0221,0.0046,0.0036
LG1,2650001,2700000,2675450,3450,1735,12.5469,15.5594,-0.1072,-0.0146,-0.0113
LG1,2700001,2750000,2718277,1249,619,28.4719,7.1073,0.6005,0.1192,0.1039
LG1,2750001,2800000,2772946,3577,1654,25.5604,32.3771,-0.1177,-0.0284,-0.0196
LG1,2800001,2850000,2827938,2739,1320,9.3063,10.9937,-0.0831,-0.0091,-0.0078
LG1,2850001,2900000,2875375,3402,1718,20.2156,14.8385,0.1534,0.0178,0.0148
LG1,2900001,2950000,2922722,2926,1803,31.6,18.5292,0.2607,0.0398,0.0341
LG1,2950001,3000000,2973759,2780,1523,17.4573,8.4677,0.3468,0.0354,0.0314
LG1,3000001,3050000,3025871,3166,1741,22.3698,6.8469,0.5313,0.0522,0.0435
LG1,3050001,3100000,3074357,3181,1632,9.85,17.8917,-0.2899,-0.0307,-0.0251
LG1,3100001,3150000,3126897,2909,1531,7.8833,11.2917,-0.1777,-0.015,-0.0126
