scaffold,start,end,mid,sites,sitesUsed,ABBA,BABA,D,fd,fdM
LG1,1,50000,24379,2504,1261,6.9453,8.5984,-0.1064,-0.0104,-0.0081
LG1,50001,100000,71096,2282,1088,20.1078,13.7984,0.1861,0.0376,0.027
LG1,100001,150000,127730,2402,1241,11.75,30.975,-0.45,-0.0959,-0.066
LG1,150001,200000,175054,2811,1273,8.4125,20.5938,-0.42,-0.0646,-0.0479
LG1,200001,250000,220897,2588,1192,6.525,12.8094,-0.325,-0.0376,-0.0267
LG1,250001,300000,272264,3861,1822,27.3344,56.9156,-0.3511,-0.1009,-0.0675
LG1,300001,350000,323791,4081,2064,17.7359,16.5422,0.0348,0.0029,0.0025
LG1,350001,400000,375120,3304,1778,35.4016,12.0891,0.4909,0.0818,0.0692
LG1,400001,450000,426321,2887,1527,39.9797,19.7609,0.3384,0.076,0.0602
LG1,450001,500000,475235,3407,2012,53.025,25.4594,0.3512,0.0613,0.0479
LG1,500001,550000,523710,2934,1749,52.3594,38.6687,0.1504,0.0416,0.0357
LG1,550001,600000,578709,2051,1093,25.5969,8.8187,0.4875,0.075,0.0654
LG1,600001,650000,625363,2397,1330,40.8734,25.0766,0.2395,0.068,0.0509
LG1,650001,700000,676878,2595,1501,18.0469,22.0094,-0.0989,-0.0129,-0.0108
LG1,700001,750000,728826,3341,1946,59.575,25.1094,0.407,0.0861,0.0683
LG1,750001,800000,779431,2167,1209,28.0859,11.3922,0.4229,0.0829,0.0704
LG1,800001,850000,827183,3335,1530,28.125,10.6406,0.451,0.0711,0.0581
LG1,850001,900000,878927,2137,1134,10.3625,8.6969,0.0874,0.009,0.0072
LG1,900001,950000,926323,1676,584,7.8312,7.1937,0.0424,0.0102,0.0064
LG1,950001,1000000,974107,3065,1624,32.9547,22.4797,0.189,0.0312,0.0258
LG1,1000001,1050000,1026264,2569,1374,16.0656,13.2844,0.0948,0.0096,0.0078
LG1,1050001,1100000,1076080,2985,1520,12.8922,16.8172,-0.1321,-0.0168,-0.0136
LG1,1100001,1150000,1124947,2483,1094,23.2016,62.6766,-0.4597,-0.5138,-0.1941
LG1,1150001,1200000,1176433,2051,1166,50.7031,45.1563,0.0579,0.0659,0.0318
LG1,1200001,1250000,1224998,2522,1244,27.8219,46.3062,-0.2494,-0.1877,-0.0833
LG1,1250001,1300000,1277907,2933,1545,22.1469,17.0125,0.1311,0.028,0.0174
LG1,1300001,1350000,1324106,2704,1366,14.4453,15.6922,-0.0414,-0.0052,-0.0039
